id,company,campaign_type,target_audience,duration,channel_used,conversion_rate,acquisition_cost,roi,location,language,clicks,impressions,engagement_score,customer_segment,date,engagement_rate
21,Datatech Solutions,Search,Women 25-34,15 Days,Email,0.04,"$16,580.00 ",7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,1/21/2021,62.46
22,Techcorp,Influencer,All Ages,30 Days,Facebook,0.02,"$12,824.00 ",6.21,New York,French,319,8586,2,Foodies,1/22/2021,3.7154
23,Nexgen Systems,Social Media,Women 35-44,15 Days,Youtube,0.13,"$8,699.00 ",2.12,Miami,French,646,3841,5,Health & Wellness,1/23/2021,16.8185
24,Innovate Industries,Email,Women 25-34,15 Days,Facebook,0.04,"$17,608.00 ",7.31,Miami,Spanish,764,2157,8,Health & Wellness,1/24/2021,35.4196
25,Nexgen Systems,Social Media,Men 18-24,60 Days,Youtube,0.07,"$8,773.00 ",6.03,Miami,Mandarin,527,1733,1,Fashionistas,1/25/2021,30.4097
26,Nexgen Systems,Search,Women 25-34,45 Days,Instagram,0.04,"$14,756.00 ",6.23,Houston,English,809,8236,10,Health & Wellness,1/26/2021,9.8227
27,Alpha Innovations,Email,Women 25-34,45 Days,Facebook,0.09,"$9,182.00 ",6.03,Houston,English,953,6916,5,Fashionistas,1/27/2021,13.7796
28,Techcorp,Email,Men 25-34,30 Days,Youtube,0.07,"$6,601.00 ",3.29,New York,Spanish,604,2420,3,Foodies,1/28/2021,24.9587
29,Techcorp,Influencer,Men 18-24,60 Days,Email,0.09,"$11,552.00 ",7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,1/29/2021,5.0394
30,Techcorp,Social Media,Women 25-34,30 Days,Email,0.09,"$11,608.00 ",3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,1/30/2021,23.4772
31,Innovate Industries,Search,Men 25-34,45 Days,Instagram,0.07,"$13,124.00 ",2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,1/31/2021,10.5851
32,Nexgen Systems,Influencer,All Ages,45 Days,Youtube,0.07,"$13,245.00 ",6.83,New York,English,309,2885,7,Foodies,2/1/2021,10.7106
33,Nexgen Systems,Display,Women 35-44,45 Days,Email,0.06,"$5,796.00 ",4.42,New York,Spanish,367,3218,9,Foodies,2/2/2021,11.4046
34,Alpha Innovations,Influencer,Women 25-34,45 Days,Google Ads,0.14,"$15,082.00 ",2.71,Los Angeles,German,243,5724,4,Health & Wellness,2/3/2021,4.2453
35,Nexgen Systems,Influencer,Men 18-24,30 Days,Youtube,0.07,"$18,332.00 ",7.81,Houston,Spanish,360,5349,6,Fashionistas,2/4/2021,6.7302
36,Techcorp,Display,Men 25-34,60 Days,Instagram,0.09,"$13,256.00 ",2.51,Miami,German,250,7373,3,Health & Wellness,2/5/2021,3.3908
37,Datatech Solutions,Display,All Ages,45 Days,Email,0.04,"$15,779.00 ",7.24,New York,Spanish,822,7152,1,Foodies,2/6/2021,11.4933
38,Innovate Industries,Influencer,Men 18-24,60 Days,Facebook,0.06,"$7,683.00 ",2.62,Houston,French,833,9772,8,Tech Enthusiasts,2/7/2021,8.5244
39,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.11,"$14,742.00 ",2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2/8/2021,6.9988
40,Innovate Industries,Search,Men 18-24,45 Days,Google Ads,0.08,"$15,495.00 ",6.97,Chicago,German,268,5495,6,Fashionistas,2/9/2021,4.8772
41,Datatech Solutions,Social Media,All Ages,30 Days,Website,0.04,"$18,684.00 ",4.57,New York,French,212,4718,4,Foodies,2/10/2021,4.4934
42,Alpha Innovations,Search,Men 25-34,45 Days,Email,0.01,"$13,096.00 ",3.44,Los Angeles,French,360,2776,1,Foodies,2/11/2021,12.9683
43,Innovate Industries,Display,Men 25-34,60 Days,Instagram,0.09,"$7,818.00 ",5.6,Houston,French,598,8637,5,Fashionistas,2/12/2021,6.9237
44,Innovate Industries,Display,All Ages,30 Days,Instagram,0.09,"$8,214.00 ",4.77,Chicago,English,988,1612,5,Fashionistas,2/13/2021,61.2903
45,Datatech Solutions,Email,Men 18-24,45 Days,Google Ads,0.04,"$6,882.00 ",3.31,Miami,English,282,8038,7,Tech Enthusiasts,2/14/2021,3.5083
46,Nexgen Systems,Display,Women 35-44,60 Days,Google Ads,0.03,"$13,470.00 ",6.8,Miami,English,992,8036,8,Health & Wellness,2/15/2021,12.3444
47,Datatech Solutions,Search,Men 25-34,60 Days,Youtube,0.06,"$14,948.00 ",7.4,New York,French,903,3940,3,Foodies,2/16/2021,22.9188
48,Innovate Industries,Social Media,Men 18-24,60 Days,Instagram,0.04,"$15,255.00 ",3.8,Chicago,French,629,1824,3,Health & Wellness,2/17/2021,34.4846
49,Techcorp,Display,All Ages,60 Days,Facebook,0.1,"$9,510.00 ",5.25,Houston,French,190,2071,4,Tech Enthusiasts,2/18/2021,9.1743
50,Techcorp,Social Media,Women 25-34,45 Days,Email,0.11,"$7,521.00 ",3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,2/19/2021,2.0333
51,Nexgen Systems,Search,Men 25-34,60 Days,Facebook,0.12,"$10,405.00 ",5.79,Los Angeles,French,134,8463,9,Foodies,2/20/2021,1.5834
52,Nexgen Systems,Search,Men 25-34,15 Days,Website,0.1,"$15,955.00 ",6.48,Houston,French,657,9831,7,Foodies,2/21/2021,6.6829
53,Techcorp,Email,Men 18-24,30 Days,Facebook,0.13,"$15,428.00 ",7.62,Houston,French,385,4937,6,Tech Enthusiasts,2/22/2021,7.7983
54,Nexgen Systems,Display,Women 35-44,45 Days,Youtube,0.02,"$19,832.00 ",3.35,New York,English,537,4739,9,Outdoor Adventurers,2/23/2021,11.3315
55,Nexgen Systems,Social Media,Men 18-24,30 Days,Youtube,0.05,"$17,375.00 ",6.15,Miami,Spanish,450,6012,7,Foodies,2/24/2021,7.485
56,Nexgen Systems,Display,Men 25-34,15 Days,Website,0.13,"$8,903.00 ",3.7,Miami,English,178,8529,9,Health & Wellness,2/25/2021,2.087
57,Nexgen Systems,Email,Women 35-44,15 Days,Website,0.04,"$14,511.00 ",6.66,Chicago,English,164,2122,8,Foodies,2/26/2021,7.7286
58,Innovate Industries,Email,Men 18-24,60 Days,Email,0.06,"$17,305.00 ",2.7,New York,French,569,1850,2,Fashionistas,2/27/2021,30.7568
59,Alpha Innovations,Email,Women 25-34,45 Days,Email,0.04,"$18,063.00 ",4.93,Chicago,English,330,6920,6,Foodies,2/28/2021,4.7688
60,Innovate Industries,Display,Men 25-34,15 Days,Email,0.05,"$10,293.00 ",6.8,Miami,French,256,3421,9,Health & Wellness,3/1/2021,7.4832
61,Datatech Solutions,Email,Men 25-34,45 Days,Email,0.05,"$8,785.00 ",2.27,New York,German,849,9217,5,Fashionistas,3/2/2021,9.2112
62,Techcorp,Email,Men 25-34,30 Days,Email,0.09,"$13,848.00 ",5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,3/3/2021,13.3299
63,Innovate Industries,Influencer,Women 35-44,60 Days,Email,0.01,"$14,435.00 ",7.04,Houston,Mandarin,592,3596,4,Foodies,3/4/2021,16.4627
64,Nexgen Systems,Search,Men 18-24,30 Days,Facebook,0.02,"$14,001.00 ",3.71,Chicago,English,201,8702,10,Outdoor Adventurers,3/5/2021,2.3098
65,Datatech Solutions,Display,All Ages,45 Days,Website,0.11,"$8,841.00 ",7.43,Houston,French,648,9122,9,Fashionistas,3/6/2021,7.1037
66,Nexgen Systems,Search,All Ages,60 Days,Youtube,0.04,"$11,366.00 ",7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,3/7/2021,3.7044
67,Alpha Innovations,Display,Women 25-34,30 Days,Youtube,0.07,"$12,910.00 ",6.33,Miami,Spanish,839,5569,7,Foodies,3/8/2021,15.0655
68,Techcorp,Search,Women 25-34,60 Days,Youtube,0.12,"$7,823.00 ",2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,3/9/2021,9.5541
69,Techcorp,Display,All Ages,15 Days,Facebook,0.03,"$11,864.00 ",7.98,Chicago,French,932,9973,9,Tech Enthusiasts,3/10/2021,9.3452
70,Innovate Industries,Email,All Ages,15 Days,Facebook,0.1,"$17,414.00 ",4.74,Los Angeles,German,694,2836,2,Foodies,3/11/2021,24.4711
71,Alpha Innovations,Search,Men 25-34,30 Days,Website,0.13,"$18,201.00 ",5.58,New York,German,202,6745,8,Tech Enthusiasts,3/12/2021,2.9948
72,Alpha Innovations,Social Media,All Ages,15 Days,Email,0.03,"$9,549.00 ",5.61,Chicago,French,416,9187,7,Health & Wellness,3/13/2021,4.5281
73,Techcorp,Social Media,Women 35-44,15 Days,Youtube,0.13,"$16,635.00 ",7.46,Miami,English,576,9999,10,Health & Wellness,3/14/2021,5.7606
74,Nexgen Systems,Influencer,All Ages,45 Days,Facebook,0.1,"$9,310.00 ",5.63,New York,German,300,3687,9,Foodies,3/15/2021,8.1367
75,Nexgen Systems,Display,All Ages,15 Days,Youtube,0.11,"$5,158.00 ",6.67,Chicago,German,776,4238,3,Health & Wellness,3/16/2021,18.3105
76,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.04,"$15,182.00 ",2.03,Houston,English,492,7364,2,Fashionistas,3/17/2021,6.6812
77,Innovate Industries,Display,Men 18-24,45 Days,Google Ads,0.08,"$5,703.00 ",3.23,Chicago,German,763,8501,10,Foodies,3/18/2021,8.9754
78,Innovate Industries,Search,Women 35-44,60 Days,Google Ads,0.02,"$12,008.00 ",4.82,Miami,Spanish,817,7892,2,Health & Wellness,3/19/2021,10.3523
79,Nexgen Systems,Display,Women 35-44,45 Days,Google Ads,0.13,"$15,850.00 ",7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,3/20/2021,22.0089
80,Alpha Innovations,Influencer,Women 25-34,30 Days,Email,0.1,"$9,813.00 ",6.57,Miami,French,737,9941,6,Fashionistas,3/21/2021,7.4137
81,Innovate Industries,Influencer,Women 35-44,60 Days,Google Ads,0.14,"$19,300.00 ",7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,3/22/2021,4.3645
82,Nexgen Systems,Social Media,Women 25-34,45 Days,Youtube,0.12,"$17,772.00 ",6.33,New York,English,913,1921,5,Foodies,3/23/2021,47.5273
83,Innovate Industries,Influencer,Women 25-34,60 Days,Facebook,0.1,"$17,293.00 ",3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,3/24/2021,2.6536
84,Nexgen Systems,Search,All Ages,60 Days,Youtube,0.08,"$8,398.00 ",3.99,Miami,English,134,3108,1,Health & Wellness,3/25/2021,4.3115
85,Alpha Innovations,Influencer,Women 35-44,60 Days,Email,0.15,"$15,866.00 ",2.3,Houston,French,159,2139,10,Health & Wellness,3/26/2021,7.4334
86,Techcorp,Social Media,All Ages,30 Days,Youtube,0.13,"$7,515.00 ",7.38,Houston,Mandarin,635,8489,3,Foodies,3/27/2021,7.4803
87,Datatech Solutions,Email,Women 25-34,15 Days,Youtube,0.15,"$19,026.00 ",2.22,Miami,Mandarin,187,2573,10,Fashionistas,3/28/2021,7.2678
88,Techcorp,Search,Men 18-24,60 Days,Facebook,0.14,"$8,280.00 ",7.89,New York,German,537,3042,1,Outdoor Adventurers,3/29/2021,17.6529
89,Alpha Innovations,Display,Women 25-34,30 Days,Google Ads,0.1,"$18,251.00 ",4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,3/30/2021,7.3549
90,Datatech Solutions,Display,All Ages,15 Days,Instagram,0.07,"$13,108.00 ",2.01,Houston,German,550,3839,7,Tech Enthusiasts,3/31/2021,14.3266
91,Nexgen Systems,Influencer,Women 35-44,15 Days,Youtube,0.09,"$15,477.00 ",6.98,Houston,English,956,9087,3,Foodies,4/1/2021,10.5205
92,Techcorp,Email,Men 25-34,45 Days,Email,0.09,"$17,705.00 ",7,New York,Spanish,628,9545,4,Outdoor Adventurers,4/2/2021,6.5794
93,Innovate Industries,Display,Women 35-44,15 Days,Instagram,0.05,"$18,470.00 ",2.57,Chicago,English,938,7879,10,Fashionistas,4/3/2021,11.9051
94,Nexgen Systems,Display,Men 25-34,45 Days,Instagram,0.01,"$14,438.00 ",7.19,New York,French,147,6497,10,Health & Wellness,4/4/2021,2.2626
95,Nexgen Systems,Search,Men 18-24,45 Days,Facebook,0.08,"$6,278.00 ",4.93,Miami,German,776,4289,8,Foodies,4/5/2021,18.0928
96,Techcorp,Social Media,All Ages,15 Days,Email,0.08,"$5,185.00 ",4.61,New York,French,108,9532,1,Tech Enthusiasts,4/6/2021,1.133
97,Innovate Industries,Email,Women 25-34,15 Days,Instagram,0.14,"$18,799.00 ",3.69,Miami,French,395,6079,8,Health & Wellness,4/7/2021,6.4978
98,Alpha Innovations,Search,All Ages,60 Days,Facebook,0.04,"$7,365.00 ",7.96,New York,French,419,4484,1,Fashionistas,4/8/2021,9.3443
99,Alpha Innovations,Search,All Ages,60 Days,Instagram,0.02,"$6,565.00 ",3.12,New York,French,463,6061,8,Foodies,4/9/2021,7.639
100,Techcorp,Display,All Ages,60 Days,Facebook,0.09,"$9,022.00 ",5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,4/10/2021,20.2566
101,Nexgen Systems,Search,Men 25-34,45 Days,Youtube,0.07,"$18,735.00 ",4.86,Los Angeles,Spanish,706,8715,6,Foodies,4/11/2021,8.101
102,Techcorp,Search,Men 18-24,45 Days,Youtube,0.09,"$9,941.00 ",4.54,Chicago,English,207,8334,4,Tech Enthusiasts,4/12/2021,2.4838
103,Datatech Solutions,Influencer,Men 18-24,60 Days,Website,0.08,"$10,113.00 ",6.87,Houston,English,583,1005,3,Health & Wellness,4/13/2021,58.01
104,Datatech Solutions,Social Media,Men 18-24,15 Days,Facebook,0.1,"$8,310.00 ",7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,4/14/2021,12.6297
105,Datatech Solutions,Influencer,Men 18-24,30 Days,Google Ads,0.06,"$15,073.00 ",2.17,Los Angeles,English,387,8035,2,Health & Wellness,4/15/2021,4.8164
106,Innovate Industries,Social Media,Women 25-34,30 Days,Email,0.09,"$7,541.00 ",3.35,Chicago,Spanish,560,3439,7,Fashionistas,4/16/2021,16.2838
107,Techcorp,Influencer,Men 25-34,45 Days,Google Ads,0.11,"$14,875.00 ",6.5,New York,German,306,1560,3,Health & Wellness,4/17/2021,19.6154
108,Techcorp,Email,All Ages,45 Days,Email,0.06,"$5,514.00 ",7.32,Miami,German,740,4550,1,Outdoor Adventurers,4/18/2021,16.2637
109,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.05,"$15,107.00 ",4.79,Houston,Spanish,115,1475,10,Fashionistas,4/19/2021,7.7966
110,Innovate Industries,Social Media,Women 25-34,15 Days,Youtube,0.1,"$13,712.00 ",6.4,Chicago,English,366,3843,3,Fashionistas,4/20/2021,9.5238
111,Alpha Innovations,Influencer,All Ages,60 Days,Facebook,0.05,"$11,789.00 ",5.39,Houston,German,659,3670,9,Outdoor Adventurers,4/21/2021,17.9564
112,Datatech Solutions,Email,All Ages,30 Days,Website,0.13,"$18,335.00 ",7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,4/22/2021,15.9353
113,Techcorp,Display,Women 35-44,30 Days,Google Ads,0.02,"$19,035.00 ",2.01,Miami,Mandarin,560,6945,7,Health & Wellness,4/23/2021,8.0634
114,Datatech Solutions,Email,Women 25-34,15 Days,Youtube,0.11,"$17,655.00 ",4.04,Los Angeles,English,369,8912,4,Health & Wellness,4/24/2021,4.1405
115,Nexgen Systems,Email,Women 25-34,45 Days,Google Ads,0.11,"$6,710.00 ",2.72,Houston,German,886,6158,7,Fashionistas,4/25/2021,14.3878
116,Nexgen Systems,Social Media,Women 25-34,15 Days,Facebook,0.09,"$9,899.00 ",3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,4/26/2021,9.1636
117,Innovate Industries,Email,All Ages,30 Days,Instagram,0.14,"$7,032.00 ",7.86,Chicago,Spanish,595,1555,4,Health & Wellness,4/27/2021,38.2637
118,Techcorp,Social Media,All Ages,45 Days,Website,0.05,"$5,174.00 ",4.98,Houston,German,438,9741,1,Tech Enthusiasts,4/28/2021,4.4965
119,Innovate Industries,Display,Women 35-44,15 Days,Youtube,0.14,"$15,679.00 ",3.71,Los Angeles,German,652,3884,7,Foodies,4/29/2021,16.7868
120,Nexgen Systems,Display,All Ages,45 Days,Youtube,0.07,"$12,143.00 ",7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,4/30/2021,9.0143
121,Innovate Industries,Email,Women 35-44,45 Days,Facebook,0.02,"$19,329.00 ",7.58,Houston,English,841,4536,8,Outdoor Adventurers,5/1/2021,18.5406
122,Innovate Industries,Search,All Ages,60 Days,Email,0.09,"$8,854.00 ",6.78,Chicago,German,137,4002,6,Tech Enthusiasts,5/2/2021,3.4233
123,Alpha Innovations,Influencer,Women 35-44,45 Days,Youtube,0.04,"$5,232.00 ",7.61,New York,German,850,6515,5,Foodies,5/3/2021,13.0468
124,Nexgen Systems,Display,Men 25-34,30 Days,Instagram,0.02,"$13,006.00 ",3.7,Chicago,Spanish,727,2863,1,Fashionistas,5/4/2021,25.3929
125,Datatech Solutions,Email,Men 18-24,45 Days,Website,0.13,"$5,653.00 ",6.08,Chicago,Mandarin,986,4477,10,Foodies,5/5/2021,22.0237
126,Datatech Solutions,Email,Men 25-34,45 Days,Google Ads,0.02,"$18,169.00 ",5.5,Miami,English,259,3941,7,Outdoor Adventurers,5/6/2021,6.5719
127,Datatech Solutions,Social Media,Men 25-34,45 Days,Email,0.08,"$13,316.00 ",6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,5/7/2021,4.467
128,Nexgen Systems,Email,All Ages,15 Days,Email,0.08,"$17,847.00 ",6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,5/8/2021,10.3905
129,Alpha Innovations,Email,Men 18-24,45 Days,Instagram,0.06,"$10,639.00 ",4.32,New York,Spanish,166,5735,10,Health & Wellness,5/9/2021,2.8945
130,Innovate Industries,Display,Men 25-34,15 Days,Youtube,0.03,"$10,945.00 ",3.16,Chicago,Spanish,508,8054,6,Fashionistas,5/10/2021,6.3074
131,Nexgen Systems,Email,Men 18-24,15 Days,Instagram,0.11,"$5,167.00 ",6.63,New York,Spanish,885,1932,7,Fashionistas,5/11/2021,45.8075
132,Datatech Solutions,Influencer,Men 25-34,60 Days,Google Ads,0.15,"$8,300.00 ",6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,5/12/2021,3.2631
133,Innovate Industries,Social Media,Men 25-34,15 Days,Instagram,0.14,"$13,469.00 ",7.54,Houston,German,857,4028,8,Fashionistas,5/13/2021,21.2761
134,Techcorp,Search,Men 25-34,30 Days,Facebook,0.1,"$19,254.00 ",2.41,Miami,English,481,1876,7,Foodies,5/14/2021,25.6397
135,Datatech Solutions,Display,All Ages,60 Days,Google Ads,0.04,"$10,704.00 ",6.46,Chicago,French,999,7543,8,Tech Enthusiasts,5/15/2021,13.2441
136,Nexgen Systems,Email,Men 18-24,30 Days,Email,0.15,"$9,229.00 ",3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,5/16/2021,15.6526
137,Alpha Innovations,Social Media,Women 35-44,60 Days,Instagram,0.1,"$14,125.00 ",4.9,Houston,Spanish,885,7833,5,Fashionistas,5/17/2021,11.2984
138,Datatech Solutions,Influencer,All Ages,60 Days,Instagram,0.04,"$8,222.00 ",6.17,Houston,Mandarin,666,1435,4,Foodies,5/18/2021,46.4111
139,Nexgen Systems,Email,Men 18-24,45 Days,Website,0.07,"$14,226.00 ",3.77,Chicago,German,359,9440,8,Outdoor Adventurers,5/19/2021,3.803
140,Datatech Solutions,Email,Men 18-24,60 Days,Website,0.06,"$18,985.00 ",4.61,Miami,English,328,8840,5,Fashionistas,5/20/2021,3.7104
141,Nexgen Systems,Email,Women 25-34,15 Days,Email,0.08,"$5,599.00 ",3.43,Houston,English,571,2404,3,Fashionistas,5/21/2021,23.7521
142,Innovate Industries,Influencer,All Ages,45 Days,Google Ads,0.08,"$11,952.00 ",3.48,Houston,English,845,5702,8,Health & Wellness,5/22/2021,14.8194
143,Innovate Industries,Display,Women 35-44,15 Days,Facebook,0.05,"$14,503.00 ",3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,5/23/2021,6.3934
144,Datatech Solutions,Search,Men 25-34,45 Days,Instagram,0.11,"$10,404.00 ",2.41,New York,German,418,3556,2,Tech Enthusiasts,5/24/2021,11.7548
145,Techcorp,Social Media,Men 18-24,30 Days,Email,0.12,"$7,484.00 ",5.86,Houston,English,208,8730,2,Outdoor Adventurers,5/25/2021,2.3826
146,Techcorp,Search,Men 25-34,60 Days,Google Ads,0.03,"$7,428.00 ",4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,5/26/2021,10.7357
147,Techcorp,Influencer,Men 25-34,15 Days,Facebook,0.1,"$11,495.00 ",5.13,Los Angeles,French,734,2612,5,Health & Wellness,5/27/2021,28.1011
148,Techcorp,Influencer,All Ages,30 Days,Facebook,0.13,"$18,957.00 ",2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,5/28/2021,21.8782
149,Nexgen Systems,Display,Men 18-24,45 Days,Instagram,0.06,"$10,772.00 ",2.94,Chicago,English,165,1496,6,Health & Wellness,5/29/2021,11.0294
150,Techcorp,Search,Women 35-44,60 Days,Instagram,0.14,"$6,896.00 ",2.15,Houston,German,693,1290,1,Foodies,5/30/2021,53.7209
151,Nexgen Systems,Search,Men 18-24,60 Days,Facebook,0.13,"$13,318.00 ",2.98,New York,German,261,1415,6,Foodies,5/31/2021,18.4452
152,Techcorp,Influencer,Women 35-44,60 Days,Website,0.06,"$7,031.00 ",5.67,Houston,French,404,8033,6,Tech Enthusiasts,6/1/2021,5.0293
153,Alpha Innovations,Display,Women 35-44,15 Days,Instagram,0.06,"$5,466.00 ",2.66,Houston,English,257,5756,2,Tech Enthusiasts,6/2/2021,4.4649
154,Innovate Industries,Influencer,All Ages,30 Days,Instagram,0.11,"$15,303.00 ",7.41,Chicago,Spanish,901,8712,2,Foodies,6/3/2021,10.3421
155,Techcorp,Social Media,Women 35-44,30 Days,Instagram,0.13,"$13,157.00 ",4.41,New York,German,724,9573,6,Fashionistas,6/4/2021,7.5629
156,Innovate Industries,Influencer,All Ages,15 Days,Instagram,0.07,"$13,197.00 ",3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,6/5/2021,7.6669
157,Alpha Innovations,Display,Men 25-34,30 Days,Facebook,0.09,"$19,723.00 ",4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,6/6/2021,5.3897
158,Nexgen Systems,Display,Men 18-24,60 Days,Google Ads,0.12,"$18,903.00 ",7.24,Miami,French,488,4253,1,Tech Enthusiasts,6/7/2021,11.4743
159,Alpha Innovations,Display,Women 35-44,60 Days,Website,0.06,"$17,737.00 ",4.23,Houston,Spanish,420,8196,4,Foodies,6/8/2021,5.1245
160,Datatech Solutions,Social Media,Women 25-34,30 Days,Instagram,0.08,"$16,981.00 ",5.74,Miami,French,395,7469,6,Foodies,6/9/2021,5.2885
161,Techcorp,Search,All Ages,45 Days,Website,0.05,"$15,993.00 ",6.55,Miami,English,616,9536,8,Fashionistas,6/10/2021,6.4597
162,Datatech Solutions,Social Media,Men 18-24,30 Days,Youtube,0.07,"$7,893.00 ",5.28,Chicago,German,170,6306,9,Foodies,6/11/2021,2.6958
163,Techcorp,Email,Women 25-34,15 Days,Google Ads,0.04,"$9,858.00 ",3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,6/12/2021,21.7698
164,Nexgen Systems,Influencer,Women 35-44,30 Days,Email,0.09,"$6,885.00 ",7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,6/13/2021,26.6748
165,Techcorp,Email,Men 25-34,30 Days,Email,0.07,"$11,587.00 ",3.17,Houston,English,716,2676,9,Foodies,6/14/2021,26.7564
166,Nexgen Systems,Email,All Ages,30 Days,Facebook,0.15,"$5,202.00 ",5.94,New York,German,998,5108,3,Fashionistas,6/15/2021,19.538
167,Innovate Industries,Search,Men 18-24,15 Days,Instagram,0.08,"$15,651.00 ",7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,6/16/2021,11.5486
